id,member,Ticker,Type,Bought,BuyPrice,Amount,Filed,FilePrice,Spot7,Spot30,Spot90,Spot180
20022978,Kathy E. Manning,CB,S,04/28/2023,201.55999755859375,"$1,001 - $15,000",05/02/2023,200.5,198.92999267578125,190.08999633789062,204.41000366210938,215.64999389648438
20022978,Kathy E. Manning,CFG,P,04/28/2023,30.940000534057617,"$1,001 - $15,000",05/02/2023,26.93000030517578,26.440000534057617,27.010000228881836,32.2599983215332,23.469999313354492
20022978,Kathy E. Manning,CFG,P,04/28/2023,30.940000534057617,"$1,001 - $15,000",05/02/2023,26.93000030517578,26.440000534057617,27.010000228881836,32.2599983215332,23.469999313354492
20022978,Kathy E. Manning,EL,S,04/28/2023,246.72000122070312,"$1,001 - $15,000",05/03/2023,202.6999969482422,203.5399932861328,194.44000244140625,175.02999877929688,134.5500030517578
20022978,Kathy E. Manning,EL,S,04/28/2023,246.72000122070312,"$1,001 - $15,000",05/02/2023,245.22000122070312,203.5399932861328,194.44000244140625,180.0,134.5500030517578
20022978,Kathy E. Manning,INTU,P,04/28/2023,443.95001220703125,"$1,001 - $15,000",05/02/2023,436.4599914550781,425.95001220703125,418.42999267578125,511.70001220703125,483.0299987792969
20022978,Kathy E. Manning,INTU,P,04/28/2023,443.95001220703125,"$1,001 - $15,000",05/03/2023,429.6499938964844,425.95001220703125,418.42999267578125,508.5,483.0299987792969
20022978,Kathy E. Manning,JPM,S,04/28/2023,138.24000549316406,"$1,001 - $15,000",05/02/2023,138.9199981689453,136.74000549316406,136.94000244140625,157.9600067138672,140.39999389648438
20022978,Kathy E. Manning,JPM,S,04/28/2023,138.24000549316406,"$1,001 - $15,000",05/02/2023,138.9199981689453,136.74000549316406,136.94000244140625,157.9600067138672,140.39999389648438
20022978,Kathy E. Manning,LRCX,P,04/28/2023,52.40800094604492,"$1,001 - $15,000",05/02/2023,52.1879997253418,52.97600173950195,62.82500076293945,71.8489990234375,58.33399963378906
20022978,Kathy E. Manning,LMT,S,04/28/2023,464.45001220703125,"$1,001 - $15,000",05/02/2023,458.8900146484375,455.5400085449219,448.45001220703125,446.3699951171875,447.69000244140625
20022978,Kathy E. Manning,LMT,S,04/28/2023,464.45001220703125,"$1,001 - $15,000",05/02/2023,458.8900146484375,455.5400085449219,448.45001220703125,446.3699951171875,447.69000244140625
20022978,Kathy E. Manning,LMT,S,04/28/2023,464.45001220703125,"$1,001 - $15,000",05/02/2023,458.8900146484375,455.5400085449219,448.45001220703125,446.3699951171875,447.69000244140625
20022978,Kathy E. Manning,MDT,P,04/28/2023,90.94999694824219,"$1,001 - $15,000",05/03/2023,90.69000244140625,90.05999755859375,81.45999908447266,87.68000030517578,71.4000015258789
20022978,Kathy E. Manning,MDT,P,04/28/2023,90.94999694824219,"$1,001 - $15,000",05/02/2023,90.2300033569336,90.05999755859375,81.45999908447266,87.76000213623047,71.4000015258789
20022978,Kathy E. Manning,MU,S,04/28/2023,64.36000061035156,"$1,001 - $15,000",05/02/2023,61.900001525878906,61.22999954223633,73.93000030517578,71.38999938964844,66.5
20022978,Kathy E. Manning,MSFT,P,04/28/2023,307.260009765625,"$1,001 - $15,000",05/02/2023,305.4100036621094,310.6499938964844,332.8900146484375,335.9200134277344,340.6700134277344
20022978,Kathy E. Manning,MSFT,P,04/28/2023,307.260009765625,"$1,001 - $15,000",05/02/2023,305.4100036621094,310.6499938964844,332.8900146484375,335.9200134277344,340.6700134277344
20022978,Kathy E. Manning,MSFT,P,04/28/2023,307.260009765625,"$15,001 -$50,000",05/02/2023,305.4100036621094,310.6499938964844,332.8900146484375,335.9200134277344,340.6700134277344
20022978,Kathy E. Manning,NKE,S,04/28/2023,126.72000122070312,"$1,001 - $15,000",05/02/2023,127.26000213623047,126.58999633789062,107.51000213623047,110.38999938964844,103.54000091552734
